Timestep,Max,Avg
199300,0.0,0.0
199320,0.0,0.0
199380,0.0,0.0
199420,0.0,0.0
199460,0.0,0.0
199500,0.0,0.0
199560,0.0,0.0
199700,0.0,0.0
199720,0.0,0.0
199900,0.0,0.0
200040,0.0,0.0
200100,0.0,0.0
200120,0.0,0.0
200140,0.0,0.0
200160,0.0,0.0
200240,0.0,0.0
200260,0.0,0.0
200280,0.0,0.0
200300,0.0,0.0
200320,0.0,0.0
200380,0.0,0.0
200420,0.0,0.0
200460,0.0,0.0
200500,0.0,0.0
200560,0.0,0.0
200700,0.0,0.0
200720,0.0,0.0
200920,0.0,0.0
201040,0.0,0.0
201100,0.0,0.0
201140,0.0,0.0
201160,0.0,0.0
201240,0.0,0.0
201260,0.0,0.0
201300,0.0,0.0
201320,0.0,0.0
201380,0.0,0.0
201420,0.0,0.0
201440,0.0,0.0
201460,0.0,0.0
201500,0.0,0.0
201560,0.0,0.0
201700,0.0,0.0
201720,0.0,0.0
201920,0.0,0.0
202040,0.0,0.0
202100,0.0,0.0
202140,0.0,0.0
202160,0.0,0.0
202240,0.0,0.0
202260,0.0,0.0
202320,0.0,0.0
202360,0.0,0.0
202380,0.0,0.0
202420,0.0,0.0
202440,0.0,0.0
202460,0.0,0.0
202500,0.0,0.0
202560,0.0,0.0
202700,0.0,0.0
202720,0.0,0.0
202920,0.0,0.0
203040,0.0,0.0
203100,0.0,0.0
203140,0.0,0.0
203160,0.0,0.0
203240,0.0,0.0
203260,0.0,0.0
203360,0.0,0.0
203380,0.0,0.0
203420,0.0,0.0
203440,0.0,0.0
203480,0.0,0.0
203500,0.0,0.0
203520,0.0,0.0
203560,0.0,0.0
203700,0.0,0.0
203720,0.0,0.0
203920,0.0,0.0
204040,0.0,0.0
204100,0.0,0.0
204160,0.0,0.0
204180,0.0,0.0
204240,0.0,0.0
204260,0.0,0.0
204360,0.0,0.0
204380,0.0,0.0
204420,0.0,0.0
204440,0.0,0.0
204480,0.0,0.0
204500,0.0,0.0
204520,0.0,0.0
204560,0.0,0.0
204700,0.0,0.0
204720,0.0,0.0
204920,0.0,0.0
205040,0.0,0.0
205100,0.0,0.0
205160,0.0,0.0
205180,0.0,0.0
205240,0.0,0.0
205260,0.0,0.0
205360,0.0,0.0
205380,0.0,0.0
205420,0.0,0.0
205440,0.0,0.0
205480,0.0,0.0
205500,0.0,0.0
205520,0.0,0.0
205560,0.0,0.0
205720,0.0,0.0
205880,0.0,0.0
205920,0.0,0.0
206040,0.0,0.0
206100,0.0,0.0
206160,0.0,0.0
206180,0.0,0.0
206240,0.0,0.0
206260,0.0,0.0
206360,0.0,0.0
206380,0.0,0.0
206420,0.0,0.0
206440,0.0,0.0
206480,0.0,0.0
206500,0.0,0.0
206520,0.0,0.0
206560,0.0,0.0
206720,0.0,0.0
206880,0.0,0.0
207000,0.0,0.0
207040,0.0,0.0
207100,0.0,0.0
