Timestep,Score,Won,Steps Alive
346416,1,0,49
346832,1,0,52
347616,2,0,98
348160,1,0,68
348952,2,0,99
349376,1,0,53
349784,1,0,51
350176,1,0,49
350576,1,0,50
351440,2,0,108
352240,2,0,100
353040,2,0,100
354392,3,0,169
355808,4,0,177
356200,1,0,49
356584,1,0,48
360456,12,0,484
361816,4,0,170
363064,4,0,156
364224,4,0,145
364632,2,0,51
365016,1,0,48
365400,0,0,48
366024,1,0,78
366456,2,0,54
366848,1,0,49
367624,3,0,97
369192,5,0,196
372072,7,0,360
372448,1,0,47
373200,2,0,94
374040,3,0,105
374504,1,0,58
374912,0,0,51
375360,2,0,56
375768,1,0,51
376584,2,0,102
378280,5,0,212
378728,2,0,56
380672,7,0,243
381944,4,0,159
382344,1,0,50
383584,4,0,155
383976,1,0,49
387128,12,0,394
388000,2,0,109
389136,3,0,142
389512,1,0,47
389888,0,0,47
390264,0,0,47
390640,1,0,47
391016,2,0,47
391816,2,0,100
392224,1,0,51
392616,0,0,49
393472,2,0,107
394112,1,0,80
394568,2,0,57
394968,1,0,50
395360,1,0,49
396496,3,0,142
396872,2,0,47
397344,1,0,59
398776,3,0,179
400216,3,0,180
400976,2,0,95
401408,1,0,54
402240,2,0,104
402672,1,0,54
403440,2,0,96
403968,1,0,66
404416,1,0,56
406552,5,0,267
407864,3,0,164
408320,3,0,57
409992,5,0,209
410408,1,0,52
410784,1,0,47
411192,2,0,51
411600,1,0,51
412104,1,0,63
412480,2,0,47
412872,1,0,49
413736,2,0,108
414880,6,0,143
415256,2,0,47
415632,0,0,47
416008,1,0,47
416392,1,0,48
417704,3,0,164
418872,4,0,146
420104,4,0,154
420480,0,0,47
421480,2,0,125
423928,7,0,306
424312,0,0,48
424712,2,0,50
425136,1,0,53
425528,2,0,49
426016,2,0,61
427240,4,0,153
428512,3,0,159
429208,1,0,87
430000,2,0,99
430912,2,0,114
431360,1,0,56
431752,1,0,49
432744,4,0,124
433512,2,0,96
434792,4,0,160
435184,1,0,49
435976,2,0,99
436400,1,0,53
436784,1,0,48
437232,2,0,56
438024,2,0,99
439392,3,0,171
439776,2,0,48
440208,1,0,54
440672,1,0,58
442232,5,0,195
443480,4,0,156
443944,1,0,58
444360,2,0,52
444736,2,0,47
445952,5,0,152
446328,0,0,47
446752,2,0,53
447632,3,0,110
448024,0,0,49
449272,4,0,156
450568,3,0,162
451048,2,0,60
451440,1,0,49
451880,2,0,55
453144,4,0,158
453560,2,0,52
453936,1,0,47
454712,2,0,97
455112,1,0,50
455544,2,0,54
455944,2,0,50
456848,2,0,113
459160,7,0,289
459648,1,0,61
460120,1,0,59
460496,2,0,47
461088,0,0,74
462744,5,0,207
463128,2,0,48
464392,3,0,158
464784,0,0,49
465160,2,0,47
465592,1,0,54
467808,8,0,277
468240,1,0,54
469072,2,0,104
469848,3,0,97
470232,1,0,48
470760,1,0,66
471568,3,0,101
473208,5,0,205
473600,1,0,49
474776,3,0,147
